Person.id|Organisation.id|workFrom
26388279066636|296|2009
26388279066636|298|2010
17592186044504|915|2009
17592186044504|923|2001
17592186044504|927|2003
19791209300058|1558|2003
19791209300058|1559|2003
6597069766695|1093|2007
6597069766695|1095|2007
6597069766695|1047|2007
6597069766695|1083|2007
13194139533332|776|2011
65|758|2008
8796093022290|706|2003
8796093022290|810|2003
8796093022290|811|2003
8796093022290|812|2004
15393162788865|496|2008
15393162788865|514|2007
15393162788865|293|2008
24189255811103|448|2003
24189255811103|459|2002
24189255811103|462|2002
26388279066717|21|2008
26388279066717|30|2007
26388279066717|31|2008
6597069766725|676|2000
6597069766725|677|2000
6597069766725|680|2002
6597069766725|668|2001
10995116277820|482|2010
24189255811086|593|2002
24189255811086|1011|2002
24189255811086|598|2004
24189255811086|605|2003
32985348833314|22|2009
32985348833314|31|2007
2199023255637|928|2009
2199023255637|913|2008
2199023255637|924|2009
2199023255637|813|2008
4398046511152|832|2011
4398046511152|842|2007
4398046511152|829|2009
19791209299993|624|2006
19791209299993|642|2006
19791209299993|630|2006
19791209299993|621|2007
19791209299993|622|2007
2199023255558|930|2005
2199023255558|936|2006
2199023255558|921|2006
2199023255558|923|2007
21990232555586|544|2001
21990232555586|552|2001
21990232555586|553|1999
24189255811155|1089|2005
24189255811155|1057|2004
24189255811155|1098|2005
24189255811155|1101|2005
6597069766693|914|2011
6597069766693|915|2004
6597069766693|937|2006
15393162788922|766|2007
24189255811099|980|2008
28587302322250|538|2006
28587302322250|554|2006
28587302322250|541|2006
28587302322250|543|2007
28587302322247|1117|2002
28587302322247|1118|2002
6597069766659|1056|2004
6597069766659|1075|2004
6597069766659|1034|2004
6597069766659|1070|2003
10995116277765|1139|2009
10995116277765|597|2009
10995116277765|814|2010
21990232555611|1177|2003
30786325577752|917|2009
30786325577752|919|2012
30786325577752|937|2005
30786325577752|938|1999
30786325577752|906|2005
6597069766733|465|2006
13194139533391|984|2000
13194139533391|985|2001
6597069766678|671|2006
94|544|2001
94|553|2000
94|543|2001
17592186044425|103|2005
19791209299984|971|2008
32985348833313|134|2003
32985348833313|8|2004
32985348833313|11|2002
19791209300004|549|2006
15393162788906|9|2012
15393162788906|11|2004
30786325577774|802|2010
30786325577774|781|2010
15393162788893|934|2006
15393162788893|911|2005
26388279066664|166|2007
26388279066664|156|2007
19791209300020|676|2003
19791209300020|680|2002
13194139533366|259|2007
13194139533366|553|2011
32985348833315|896|2011
32985348833315|897|2010
32985348833315|364|2011
32985348833315|895|2010
4398046511117|1331|2010
4398046511117|1348|2011
4398046511117|1326|2006
19791209299986|1153|2002
19791209299986|1166|2002
19791209299986|1151|2003
28587302322256|892|2003
13194139533331|1569|2008
13194139533331|1573|2008
13194139533331|1574|2008
17592186044459|546|2005
13194139533344|800|2001
13194139533344|784|2001
13194139533344|808|2003
13194139533344|780|2003
19791209299968|548|2007
19791209299968|551|2005
24189255811079|912|2008
24189255811079|934|2008
24189255811079|924|2007
24189255811079|926|2007
21990232555571|708|2009
4398046511145|545|2005
4398046511145|553|2006
4398046511145|538|2005
15393162788911|1227|2003
15393162788911|1228|2005
15393162788911|1230|2004
4398046511185|803|2004
21990232555524|1562|2008
21990232555524|1563|2007
21990232555524|1564|2008
2199023255562|443|2008
2199023255562|446|2009
2199023255562|463|2009
32985348833329|553|2003
17592186044439|1472|2010
17592186044439|1490|2010
17592186044439|1445|2009
17592186044439|1516|2010
17592186044439|1453|2010
30786325577784|305|2008
30786325577784|771|2004
30786325577784|299|2006
30786325577784|300|2004
30786325577784|303|2007
6597069766720|286|2003
4398046511180|1176|2012
4398046511180|1178|2011
4398046511180|861|2011
96|914|2012
96|920|2000
96|937|2009
96|905|2007
96|909|2010
4398046511177|938|2004
4398046511177|908|2003
4398046511177|927|2004
32985348833378|549|2008
32985348833378|551|2007
32985348833378|552|2008
32985348833378|542|2009
15393162788866|999|2008
15393162788866|569|2010
15393162788866|555|2009
10995116277846|779|2003
10995116277846|796|2004
10995116277846|797|2003
10995116277846|782|2004
10995116277846|783|2003
24189255811116|1053|2008
26388279066654|1256|2003
26388279066654|1243|2007
26388279066654|1245|2005
24189255811140|897|2009
24189255811140|887|2008
24189255811140|888|2012
24189255811140|890|2011
24189255811140|893|2009
6597069766719|486|2005
6597069766719|457|2005
10995116277788|1248|2009
10995116277788|1239|2008
26388279066662|805|2004
26388279066662|806|2006
26388279066662|791|2004
26388279066662|793|2005
